project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,OSS_DIRECTORY,oso,buidlguidl,Buidl Guidl,GITHUB,114,2018-08-14 00:15:49.000000 UTC,2024-10-24 23:01:00.000000 UTC,12894,8859,42,905,145,98,2.94535519,19,1674,898,743,291,268
fjEAHU1YIchc2UVz0akVqRbjvzQOWtZ66hZZvd4OELA=,OSS_DIRECTORY,oso,nftstorage,NFT.Storage,GITHUB,34,2021-03-10 20:20:06.000000 UTC,2024-08-22 02:31:23.000000 UTC,1033,339,29,714,139,130,0.01092896,4,47,17,19,153,375
mPPxE5gIWmDOGYl28LfHliBAVhk0b_ZYyoNNg9CGV2c=,OSS_DIRECTORY,oso,zkemail,ZK Email,GITHUB,61,2022-10-12 18:00:15.000000 UTC,2024-10-24 15:16:27.000000 UTC,930,231,19,88,51,41,1.75409836,17,1545,302,216,117,57
KxxR7pXLecV5YBqbWpSlDo8E9DmHOqrzHcxKVUonsRU=,OSS_DIRECTORY,oso,cyfrin,Cyfrin,GITHUB,143,2019-02-04 01:14:13.000000 UTC,2024-10-25 01:41:28.000000 UTC,8985,2857,24,563,212,177,1.92896175,17,1279,650,524,317,302
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,OSS_DIRECTORY,oso,blockscout,Blockscout,GITHUB,37,2018-03-08 20:57:01.000000 UTC,2024-10-25 00:02:09.000000 UTC,4035,3186,51,2530,344,282,2.72131148,23,1910,946,835,726,751
kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,OSS_DIRECTORY,oso,l2beat,L2BEAT,GITHUB,12,2021-12-09 11:26:17.000000 UTC,2024-10-24 21:06:37.000000 UTC,889,454,97,341,103,72,6.46994536,71,1804,1943,1852,17,17
CN1jpaDvFesuqHB5E4r_33Ux76E6Laruu66jgK0HJu4=,OSS_DIRECTORY,oso,stogramhq,StogramHQ,GITHUB,1,,,0,0,,,,,,,,,,,
hR5hJZMT7SqtKYhTfnqTjmin8crXp8MiyCIy4sIqkJ0=,OSS_DIRECTORY,oso,eth-cd,eth-cd,GITHUB,1,,,0,0,,,,,,,,,,,
eHlZp_I0IPn3jelliDKquf7JOzIIJhmkwXZIGQ-Qleg=,OSS_DIRECTORY,oso,heavenstoolsllc,HeavensToolsLLC,GITHUB,1,,,0,1,,,,,,,,,,,
XxuckzrKSiMLHBWrnNBmMy9faaPgebuJWBHyWLpmNtk=,OSS_DIRECTORY,oso,0xfacet,Facet,GITHUB,15,2023-08-30 20:54:20.000000 UTC,2024-10-24 20:07:03.000000 UTC,223,60,2,19,2,0,0.1147541,2,195,50,45,0,0
ENcUxf2eGtoGrRZPIDwsar8fURCZ23ByLQuc0_Oao0o=,OSS_DIRECTORY,oso,carboncopyrefi,CARBON Copy,GITHUB,2,2024-10-01 13:06:57.000000 UTC,2024-10-15 14:16:08.000000 UTC,0,0,2,2,2,2,0,2,14,0,0,0,0
